N2_T,N_T,H_T,NH3_T,NH2_T,NH_T,N2,H2,NH3,N2_S,N_S,H_S,NH3_S,NH2_S,NH_S,N_S3,time
1.8918881785978216e-10,1.5561552060487837e-07,9.637340357427373e-08,1.3617380671544209e-11,1.25729562395706e-10,2.8264693299513412e-06,0.000256669292818893,0.000770003424692783,3.0268461409241957e-07,2.788366419783775e-13,2.0026087217621636e-09,2.01398170299782e-09,4.279432936580539e-12,5.780418795671335e-08,1.0213937884367522e-09,4.200230708114729e-13,1.1666814714317297e-07
1.8978409793858498e-10,1.5561710460887078e-07,9.637794127147402e-08,1.3631638040388266e-11,1.2558034548298286e-10,2.8264675181900336e-06,0.000256669292275629,0.0007700034243912213,3.026845587128592e-07,2.815281178532426e-13,2.002637803485287e-09,2.0136523539069745e-09,4.294922071832104e-12,5.780250850816549e-08,1.0233376896808193e-09,4.19646229609633e-13,2.0727925331698316e-07
1.9126141668489925e-10,1.5562137613669031e-07,9.638844805464334e-08,1.3664779000286189e-11,1.2522374304679958e-10,2.826462696065276e-06,0.00025666929092488575,0.0007700034241986747,3.0268442169091213e-07,2.893379007934799e-13,2.00270371589773e-09,2.012855860478627e-09,4.336307546186501e-12,5.7798277986110647e-08,1.0282040537895318e-09,4.1874315285855433e-13,1.1133902972915166e-06
1.9391825651579024e-10,1.5562940468828884e-07,9.640628381288772e-08,1.372203168952712e-11,1.2460166917772703e-10,2.8264537015911558e-06,0.00025666928849127796,0.0007700034245379445,3.026841754362117e-07,3.049711930363487e-13,2.002814284864684e-09,2.0114548899252404e-09,4.414841160763641e-12,5.7790636751014815e-08,1.0369569125700708e-09,4.17168257810348e-13,2.01950134126605e-06
1.9746100665524904e-10,1.5563998418266179e-07,9.642970047740735e-08,1.379871842428741e-11,1.2377912570398746e-10,2.826441838895895e-06,0.00025666928524440265,0.0007700034250604338,3.0268384857521604e-07,3.251549246817929e-13,2.0029632488155813e-09,2.0095964968849725e-09,4.5183195298210285e-12,5.778052619172554e-08,1.0485407699703643e-09,4.1507475289814247e-13,4.894382893638749e-06
2.023949739713596e-10,1.5565533680176968e-07,9.646055146872064e-08,1.390154141203741e-11,1.2266891213403156e-10,2.8264247379477727e-06,0.0002566692807152227,0.0007700034269547909,3.026833935649108e-07,3.557491295934748e-13,2.0031570234542065e-09,2.007062567478504e-09,4.669548087002948e-12,5.776637201191546e-08,1.064692563312909e-09,4.1223693711628974e-13,7.769264446011448e-06
2.0897290307090474e-10,1.5567715422736246e-07,9.649877494849954e-08,1.4030910402735434e-11,1.212472700252896e-10,2.8264006645164576e-06,0.0002566692746645211,0.0007700034316148718,3.026827851591639e-07,4.0255053054741603e-13,2.003385493936482e-09,2.0037804808985807e-09,4.886818310776437e-12,5.774727903720665e-08,1.0863518614236172e-09,4.086018013913234e-13,1.2002028189073144e-05
2.171648020411137e-10,1.5570639042854016e-07,9.654234639206526e-08,1.4181224626163704e-11,1.19558887643577e-10,2.8263687428104797e-06,0.0002566692671098711,0.0007700034404715811,3.0268202297556346e-07,4.710950759231917e-13,2.003620894072004e-09,1.9998417286136573e-09,5.182654374015969e-12,5.772317282720388e-08,1.1135051386648704e-09,4.042994365834354e-13,1.623479193213484e-05
2.260500686719244e-10,1.557376250591717e-07,9.65874866180052e-08,1.4341532563517424e-11,1.1777620731465684e-10,2.8263345626024693e-06,0.00025666925891452465,0.000770003450758747,3.026812109140834e-07,5.372850318394282e-13,2.003894216689158e-09,1.9955883877335733e-09,5.49339746095547e-12,5.7697235160344504e-08,1.142731084341998e-09,3.995809723953309e-13,2.0467555675196536e-05
2.3640431633133765e-10,1.5577675860240128e-07,9.663398555992675e-08,1.4512010081700192e-11,1.1582634544617172e-10,2.8262921601030804e-06,0.0002566692493392472,0.0007700034671296696,3.0268026323543123e-07,6.255134622727325e-13,2.004147157482091e-09,1.9908449479451606e-09,5.889794636475935e-12,5.7666614294308015e-08,1.1769694511585814e-09,3.942927825367266e-13,2.7668962907512196e-05
2.4909245468823975e-10,1.558312564749331e-07,9.668335587692328e-08,1.4693957121612927e-11,1.1358816859573368e-10,2.8262340481200877e-06,0.0002566692375606751,0.000770003494517762,3.0267906678069794e-07,7.729948076963295e-13,2.004286584897919e-09,1.9854152638256387e-09,6.466755903949663e-12,5.7627815729660196e-08,1.2198104533855509e-09,3.8828368325479454e-13,3.4870370139827855e-05
2.641523945648618e-10,1.55907222626961e-07,9.67332510937539e-08,1.4871781417330087e-11,1.110946410827814e-10,2.826154489526043e-06,0.00025666922350821373,0.0007700035376168617,3.0267756427665897e-07,1.0266798447044777e-12,2.0041440748007373e-09,1.9795697780165142e-09,7.314907415247542e-12,5.757942431252119e-08,1.2723912401436764e-09,3.820234867368973e-13,4.2071777372143515e-05
2.812042403250684e-10,1.5599563829651585e-07,9.678246682557789e-08,1.5047991126103807e-11,1.0844231562932054e-10,2.8260620851215098e-06,0.0002566692076222078,0.0007700035912054157,3.0267586293282265e-07,1.3161739856285284e-12,2.0038950007165768e-09,1.9731828999562985e-09,8.330894437350843e-12,5.7524235182541375e-08,1.3320782449662349e-09,3.7343365189921087e-13,4.9273184604459175e-05
3.004924972317046e-10,1.5613366316342946e-07,9.68286192669623e-08,1.5166956139559097e-11,1.0553464177328869e-10,2.8259221828230544e-06,0.0002566691893553356,0.0007700036781694094,3.026735419459971e-07,1.994891475285366e-12,2.0025173495469877e-09,1.967765729024417e-09,1.005318330765636e-11,5.7453573834580536e-08,1.4059875311005708e-09,3.6915543287076353e-13,6.270246548822911e-05
3.202743997144312e-10,1.5632589847180743e-07,9.68675517494604e-08,1.5192966328622922e-11,1.0257011377272678e-10,2.8257315953221582e-06,0.00025666917019932323,0.0007700038005107624,3.0267061237531664e-07,3.1752555410270523e-12,1.99965179403016e-09,1.964556005869104e-09,1.2575597408755493e-11,5.7369982398791494e-08,1.4905277633349453e-09,3.73410233154112e-13,7.613174637199904e-05
3.385218363804428e-10,1.5661514403527137e-07,9.689938707192349e-08,1.5045496951430433e-11,9.950009056234763e-11,2.8254515523245342e-06,0.00025666915147320193,0.0007700039798889893,3.0266683195759694e-07,5.248534681494275e-12,1.9940312031897693e-09,1.9661815479903957e-09,1.632865506130891e-11,5.726814159278157e-08,1.5888160317086356e-09,4.0284055660060785e-13,8.956102725576898e-05
3.536866324703508e-10,1.5696227072396586e-07,9.692291285058436e-08,1.476223563726666e-11,9.660472438016733e-11,2.82511939633299e-06,0.00025666913489527806,0.0007700041919637779,3.0266266726266055e-07,7.907612581038389e-12,1.986531628151836e-09,1.9718753346896166e-09,2.0795687122882297e-11,5.71599117209262e-08,1.6899138152308274e-09,4.5201100588947465e-13,0.00010299030813953891
3.645390957508784e-10,1.573285651337844e-07,9.693734290011184e-08,1.4385247106540929e-11,9.413158540535468e-11,2.8247719036976187e-06,0.00025666912189903585,0.0007700044128858175,3.026585653946104e-07,1.0839595633897933e-11,1.9780536363074764e-09,1.980720358077299e-09,2.546590875145843e-11,5.7056442339413626e-08,1.7837058222050652e-09,5.149449893159576e-13,0.00012370516899551376
